Year,1995,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Population,26175,26175,26175,44644,44644,44644,39586,24732,39586,24732,24732,24732,24732,24732,24732,15764,15674,21487,21487,21487,21487
